ID,1,2,3,4,5,6,7,8,Grand Total
395_wi20,1,1,1,1,1,1,1,1,8
397_wi20,1,1,1,1,1,1,1,1,8
398_wi20,1,1,NA,1,1,1,1,1,7
399_wi20,1,1,1,NA,1,1,1,1,7
400_wi20,1,1,NA,NA,NA,NA,NA,NA,2
402_wi20,NA,NA,1,NA,NA,NA,NA,NA,1
404_wi20,1,1,1,1,1,1,1,NA,7
405_wi20,1,1,NA,NA,1,NA,NA,NA,3
408_wi20,1,1,1,1,NA,1,1,NA,6
409_wi20,1,1,1,1,NA,1,1,NA,6
410_wi20,1,NA,1,1,1,NA,NA,1,5
412_wi20,NA,NA,1,NA,NA,NA,NA,NA,1
413_wi20,1,1,1,1,1,1,1,1,8
414_wi20,1,1,1,1,1,1,1,1,8
415_wi20,1,1,1,NA,1,1,1,1,7
417_wi20,1,1,1,1,1,1,1,1,8
419_wi20,NA,1,1,1,1,1,1,1,7
421_wi20,1,1,1,1,1,1,1,1,8
422_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
423_wi20,1,NA,1,1,1,1,1,1,7
424_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
425_wi20,1,NA,NA,NA,NA,1,NA,NA,2
426_wi20,NA,NA,1,NA,1,NA,NA,NA,2
427_wi20,1,1,1,1,1,1,1,1,8
428_wi20,1,1,1,NA,1,NA,NA,1,5
429_wi20,1,1,1,NA,NA,NA,NA,NA,3
430_wi20,1,1,1,1,1,1,1,NA,7
432_wi20,NA,NA,1,1,1,NA,NA,NA,3
438_wi20,1,NA,1,1,1,1,1,NA,6
440_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
441_wi20,1,1,NA,NA,1,1,1,NA,5
443_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
444_wi20,1,NA,1,1,1,NA,1,1,6
446_wi20,1,1,1,1,1,1,1,1,8
NA,1,1,1,1,1,1,1,1,8
NA,NA,NA,NA,NA,1,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,1,NA,NA,1
NA,1,1,1,1,1,1,1,1,8
NA,NA,1,1,1,1,1,1,1,7
NA,NA,NA,NA,NA,NA,NA,1,NA,1
NA,NA,NA,NA,NA,1,NA,NA,NA,1
NA,NA,1,NA,NA,NA,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,1,1,NA,NA,1,1,NA,5
NA,1,1,1,NA,NA,NA,NA,NA,3
NA,NA,NA,1,NA,NA,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,1,1,1,1,1,1,1,8
NA,1,NA,1,NA,NA,NA,NA,NA,2
NA,1,1,NA,NA,NA,NA,NA,NA,2
NA,1,1,1,1,1,1,1,1,8
NA,1,NA,NA,NA,NA,NA,NA,NA,1
NA,1,1,1,NA,1,1,NA,1,6
NA,NA,NA,NA,1,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,1,NA,1
NA,1,NA,1,1,1,NA,NA,1,5
