ID,total_points,letter_grade
208_wi20,94.78,A
209_wi20,88.25,B+
210_wi20,101.72,A+
211_wi20,103.47,A+
212_wi20,96.7,A
213_wi20,91.13,A-
214_wi20,76.63,C
215_wi20,91.35,A-
216_wi20,103,A+
217_wi20,96.7,A
218_wi20,97.82,A+
219_wi20,81.1,B-
220_wi20,94.49,A
221_wi20,95.83,A
222_wi20,82.1,B-
223_wi20,102.09,A+
224_wi20,98.2,A+
225_wi20,98.61,A+
226_wi20,100.85,A+
227_wi20,83.53,B
228_wi20,97.61,A+
229_wi20,97.57,A+
230_wi20,96.73,A
231_wi20,91.51,A-
232_wi20,98.65,A+
233_wi20,97.65,A+
234_wi20,93.98,A
235_wi20,98.89,A+
236_wi20,91.05,A-
237_wi20,98.16,A+
238_wi20,97.42,A+
239_wi20,103.13,A+
240_wi20,95.47,A
241_wi20,0,F
241_wi20,0,F
241_wi20,NA,NA
241_wi20,NA,NA
242_wi20,97.48,A+
243_wi20,96.33,A
244_wi20,102.07,A+
245_wi20,101.61,A+
246_wi20,83.33,B
247_wi20,51.7,F
248_wi20,100.42,A+
249_wi20,96.24,A
250_wi20,98.1,A+
251_wi20,94.52,A
252_wi20,96.4,A
253_wi20,82.12,B-
254_wi20,95.45,A
255_wi20,98.2,A+
256_wi20,96.1,A
257_wi20,95.55,A
258_wi20,94.2,A
259_wi20,97.97,A+
260_wi20,99.69,A+
261_wi20,91.88,A-
262_wi20,96.97,A
263_wi20,81.35,B-
264_wi20,0,F
264_wi20,0,F
264_wi20,NA,NA
264_wi20,NA,NA
265_wi20,71.53,C-
266_wi20,91.17,A-
267_wi20,101.75,A+
268_wi20,98.03,A+
269_wi20,98.76,A+
270_wi20,93.7,A
271_wi20,97.26,A+
272_wi20,99.5,A+
273_wi20,93.14,A
274_wi20,98.11,A+
275_wi20,91.1,A-
276_wi20,98.01,A+
277_wi20,96.99,A
278_wi20,99.57,A+
279_wi20,102.13,A+
280_wi20,97.43,A+
281_wi20,94.25,A
282_wi20,97.69,A+
283_wi20,103.15,A+
284_wi20,101.63,A+
285_wi20,100.85,A+
286_wi20,97.93,A+
287_wi20,98.07,A+
288_wi20,91.91,A-
289_wi20,96.76,A
290_wi20,84.35,B
291_wi20,90.9,A-
292_wi20,97.3,A+
293_wi20,103.33,A+
294_wi20,87.92,B+
295_wi20,94.82,A
296_wi20,95.57,A
297_wi20,97.04,A+
298_wi20,97.97,A+
299_wi20,98.01,A+
300_wi20,100,A+
301_wi20,87.67,B+
302_wi20,96.11,A
303_wi20,92.5,A-
304_wi20,0,F
304_wi20,0,F
