ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
033_wi20,101.0,52.0,7.0,14.0,0.5,0.5,30.0,5.0,5.0,4.0,1,1,96.72,CG33,JR,2
034_wi20,40.0,15.0,0.0,1.0,-0.5,-0.5,15.0,9.0,9.0,6.0,0,1,96.7,CS26,SR,0
035_wi20,21.0,24.0,2.0,3.0,-0.5,-0.5,15.0,3.0,8.0,6.0,0,0,98.26,CS26,JR,0
039_wi20,0.0,5.45,0.0,0.0,-1.0,-1.0,5.0,9.0,10.0,6.0,0,2,91.34,CS26,SR,0
040_wi20,90.0,25.0,8.0,6.0,-0.5,-0.5,40.0,2.0,7.0,5.0,0,0,99.24,CG35,SR,1
041_wi20,0.0,17.5,0.0,0.0,0.0,0.0,20.0,4.0,9.0,8.0,0,2,96.37,MA30,SR,3
044_wi20,33.0,19.0,7.0,1.0,0.0,0.0,40.0,2.0,6.0,8.0,1,2,95.15,CG27,SR,2
049_wi20,0.0,35.0,0.0,0.0,-1.0,0.0,20.0,2.0,10.0,5.0,0,1,98.66,CS26,JR,0
050_wi20,13.0,8.0,2.0,1.0,-1.0,-1.0,10.0,10.0,9.0,8.0,1,2,95.28,DS25,SR,0
052_wi20,0.0,14.0,4.0,0.0,-0.5,-0.5,20.0,12.0,9.0,6.0,1,1,97.07,DS25,SR,1
053_wi20,101.0,43.0,4.0,2.0,-0.5,0.0,40.0,2.0,5.0,3.0,2,1,93.78,CG25,SR,1
056_wi20,47.0,24.0,7.0,0.0,-0.5,-0.5,15.0,4.0,8.0,4.0,0,2,94.83,CS26,JR,1
057_wi20,65.0,57.0,8.0,3.0,0.5,0.5,20.0,1.0,10.0,2.0,0,0,97.9,CS28,SR,2
059_wi20,81.0,32.0,0.0,3.0,-0.5,0.0,15.0,9.0,8.0,6.0,0,2,96.86,CS26,SR,0
064_wi20,91.0,21.0,7.0,3.0,0.0,-0.5,20.0,11.0,9.0,7.0,1,3,98.1,DS25,SR,1
